city,day,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,uv,text,icon
Bialystok,2018-07-01,12.0,9.5,11.6,24.8,2.9,7.8,78.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Bialystok,2018-07-14,21.7,13.9,19.5,14.8,12.4,8.4,89.0,0.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png
Lublin,2020-01-14,3.1,-0.1,1.5,20.2,0.0,10.0,83.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Belchatow,2017-09-21,12.2,9.5,11.6,25.9,5.9,9.6,88.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Szczecin,2017-11-17,8.4,4.1,6.2,16.2,3.8,9.8,83.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lodz,2017-01-24,-1.8,-4.7,-2.9,13.3,0.6,4.9,96.0,0.0,Moderate snow,//cdn.weatherapi.com/weather/64x64/day/332.png
Bialystok,2020-10-23,13.6,11.0,12.9,19.8,2.7,9.0,89.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Lublin,2019-10-05,10.8,6.2,9.0,19.4,1.6,9.0,74.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Plock,2017-08-16,28.6,14.6,24.4,18.7,1.7,10.0,62.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Lublin,2019-05-05,9.2,5.8,8.1,24.5,7.9,5.5,87.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Pleszew,2018-12-03,7.5,2.8,6.1,21.2,4.1,5.3,92.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Szczecin,2018-07-01,19.5,8.9,17.6,20.9,0.2,9.9,61.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lodz,2020-03-11,10.3,7.3,9.6,30.6,8.9,8.3,81.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Lodz,2020-01-14,3.4,1.2,2.5,23.4,0.0,10.0,77.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
